"abbreviation"	"name"	"compartment"
"sperminedialdehyde"	"sperminedialdehyde"	"c, e, p"
"N1-acetylspermidine"	"N1-acetylspermidine"	"c, p"
"spermidinemonoaldehyde1"	"spermidinemonoaldehyde1"	"c, e, p"
"spermidinemonoaldehyde2"	"spermidinemonoaldehyde2"	"c, e, p"
"spermidinedialdehyde"	"spermidinedialdehyde"	"c, e, p"
"putreanine"	"putreanine"	"c"
"isoputreanine"	"isoputreanine"	"c"
"acetamidopropanal"	"acetamidopropanal"	"c, p"
"N1,N12-diacetylspermine"	"N1,N12-diacetylspermine"	"c, p"
"dehydrospermidine"	"dehydrospermidine"	"c"
"1,3-diaminopropane"	"1,3-diaminopropane"	"c"
"1-pyrroline"	"1-pyrroline"	"m, c"
"deoxyhypusine"	"deoxyhypusine"	"c"
"lysine"	"lysine"	"c, m, l, n, e"
"spermicacid1"	"spermicacid1"	"c"
"L-4-hydroxyglutamatesemialdehyde"	"L-4-hydroxyglutamatesemialdehyde"	"m"
"N-acetylornithine"	"N-acetylornithine"	"c"
"creatine-phosphate"	"creatine-phosphate"	"m, c"
"sarcosine"	"sarcosine"	"m, p, c"
"N-acetylputrescine"	"N-acetylputrescine"	"c"
"N4-acetylaminobutanal"	"N4-acetylaminobutanal"	"c"
"4-acetamidobutanoate"	"4-acetamidobutanoate"	"c"
"glycerate"	"glycerate"	"c, m"
"isobutyrylglycine"	"isobutyrylglycine"	"m"
"isobutyryl-CoA"	"isobutyryl-CoA"	"m"
"methacrylyl-CoA"	"methacrylyl-CoA"	"m"
"3-methylcrotonyl-CoA"	"3-methylcrotonyl-CoA"	"m"
"isovaleryl-CoA"	"isovaleryl-CoA"	"m"
"isovalerylglycine"	"isovalerylglycine"	"m"
"3-methylcrotonoylglycine"	"3-methylcrotonoylglycine"	"m"
"2-methylbutyryl-CoA"	"2-methylbutyryl-CoA"	"m"
"2-methylbutyrylglycine"	"2-methylbutyrylglycine"	"m"
"tiglyl-CoA"	"tiglyl-CoA"	"m"
"3-phosphonooxypyruvate"	"3-phosphonooxypyruvate"	"c"
"3-phosphoserine"	"3-phosphoserine"	"c"
"serine"	"serine"	"c, m, l, e"
"L-2-amino-3-oxobutanoicacid"	"L-2-amino-3-oxobutanoicacid"	"m"
"formaldehyde"	"formaldehyde"	"p, c, m, l"
"aminoacetone"	"aminoacetone"	"c"
"2-amino-3-oxoadipate"	"2-amino-3-oxoadipate"	"m"
"succinyl-CoA"	"succinyl-CoA"	"m, c"
"dehydroalanine"	"dehydroalanine"	"c"
"N-acetyl-L-alanine"	"N-acetyl-L-alanine"	"c"
"threonine"	"threonine"	"c, l, e"
"hydroxypyruvate"	"hydroxypyruvate"	"c"
"2-hydroxy-3-oxopropanoate"	"2-hydroxy-3-oxopropanoate"	"c"
"choline"	"choline"	"c, m, e, g, r"
